id,time,freq_mhz,bearing_deg,sensor,power_dbm
E001,2026-06-08T12:00:00Z,9410.2,45.1,SENSOR-A,-58.0
E002,2026-06-08T12:00:02Z,2401.0,120.4,SENSOR-B,-71.2
E003,2026-06-08T12:00:05Z,9409.9,44.7,SENSOR-A,-59.1
E004,2026-06-08T12:00:06Z,2401.3,119.8,SENSOR-B,-70.5
E005,2026-06-08T12:00:09Z,9410.1,45.3,SENSOR-A,-58.4
E006,2026-06-08T12:00:11Z,5610.4,300.2,SENSOR-A,-64.0
E007,2026-06-08T12:00:12Z,2400.8,120.1,SENSOR-B,-71.9
E008,2026-06-08T12:00:15Z,9410.3,45.0,SENSOR-A,-57.8
E009,2026-06-08T12:00:20Z,5610.1,359.5,SENSOR-B,-65.2
E010,2026-06-08T12:00:24Z,5610.6,0.6,SENSOR-A,-64.7
E011,2026-06-08T12:00:30Z,1090.0,210.0,SENSOR-B,-80.1
E012,2026-06-08T12:00:33Z,9409.8,45.4,SENSOR-A,-58.9
E013,2026-06-08T12:00:35Z,5610.3,300.4,SENSOR-A,-63.6
E014,2026-06-08T12:00:40Z,2401.1,120.0,SENSOR-B,-72.3
